# converted from stack_master/maps/f/global_waypoints.json (global_traj_wpnts_iqp)
# fields_id_unused
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
2.699323426104165424e+00;-6.869435103241148255e+00;-2.007960064231881603e+01;2.003567599298587520e+00;-2.390362275298412165e-01;5.724464125934437320e+00;4.040223475469549186e+00;1.713090977156363826e+00;7.510537998248306701e-01
2.799298367811727140e+00;-6.910291725500711024e+00;-1.998834714292487291e+01;1.980088427798353701e+00;-2.306415566213991797e-01;5.794595045557670687e+00;4.125867587446419016e+00;1.735153564470897969e+00;7.344612837672568340e-01
2.899273309519288855e+00;-6.949027145923712290e+00;-1.989619066773984812e+01;1.957445641838857942e+00;-2.223850764099938038e-01;5.865347260401352791e+00;4.216448686783423661e+00;1.759228940909846495e+00;7.089070486440239849e-01
2.999248251226850570e+00;-6.985709728188131962e+00;-1.980318149901969349e+01;1.935616425942256580e+00;-2.142928103005188600e-01;5.936781696209306070e+00;4.310916395987207217e+00;1.786465771163465055e+00;6.718765529998331765e-01
3.099223192934412285e+00;-7.020386419606806427e+00;-1.970942100043437151e+01;1.914593148418270552e+00;-2.063245008673278702e-01;6.008938686593151779e+00;4.410585285381745990e+00;1.816777428766600755e+00;6.369219270725453574e-01
3.199198134641974001e+00;-7.053126115356848302e+00;-1.961495246623272948e+01;1.894356752501731966e+00;-1.984910182102838094e-01;6.081878011999284794e+00;4.514973839204290407e+00;1.847030636108894841e+00;6.039642504592368510e-01
3.299173076349535716e+00;-7.083980953605701458e+00;-1.951986450387842709e+01;1.874901001053429050e+00;-1.907586863179129566e-01;6.155648515437801116e+00;4.625286036678510904e+00;1.877990457133463131e+00;5.729403572003343159e-01
3.399148018057097431e+00;-7.113020132763878678e+00;-1.942419423304454895e+01;1.856210161389687530e+00;-1.831444082886986569e-01;6.230315726302084300e+00;4.740854503807697462e+00;1.907129187785295610e+00;5.437734090728179037e-01
3.499122959764659146e+00;-7.140299860172040880e+00;-1.932801843126782870e+01;1.838277693105002220e+00;-1.756239151376600138e-01;6.305931125117961500e+00;4.862631928330379161e+00;1.934317216046411492e+00;5.163991171010268166e-01
3.599097901472220862e+00;-7.165889251810960481e+00;-1.923136890146213318e+01;1.821090503456242793e+00;-1.682008035995954942e-01;6.382558267802323826e+00;4.990512820022592777e+00;1.959822930009591513e+00;4.907426227399390162e-01
