x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
6.327810,9.942758,0.4983,0.8603,2.832063,0.080417,9.4591
6.232525,9.972811,0.4911,0.8625,2.840063,0.079720,9.4999
6.137003,10.002104,0.4944,0.8596,2.847993,0.079029,9.5402
6.041252,10.030642,0.5182,0.8644,2.855855,0.078343,9.5801
5.945282,10.058430,0.5122,0.8711,2.863648,0.077662,9.6196
5.849098,10.085472,0.5059,0.8611,2.871374,0.076985,9.6588
5.752710,10.111774,0.4969,0.8552,2.879032,0.076313,9.6975
5.656123,10.137339,0.4923,0.8602,2.886623,0.075645,9.7358
5.559347,10.162174,0.5085,0.8617,2.894148,0.074982,9.7737
5.462386,10.186284,0.5203,0.8452,2.901607,0.074323,9.8113
5.365250,10.209672,0.5093,0.8395,2.909000,0.073667,9.8485
5.267944,10.232346,0.5134,0.8276,2.916328,0.073016,9.8853
5.170475,10.254308,0.5064,0.8222,2.923590,0.072369,9.9218
5.072850,10.275565,0.5143,0.7473,2.930789,0.071726,9.9579
4.975075,10.296123,0.5178,0.6686,2.937923,0.071086,9.9937
4.877156,10.315985,0.5296,0.5956,2.944994,0.070450,10.0291
4.779101,10.335157,0.5324,0.5310,2.952001,0.069817,10.0642
4.680913,10.353645,0.5479,0.4758,2.958945,0.069188,10.0990
4.582601,10.371454,0.5501,0.4194,2.965827,0.068562,10.1334
4.484168,10.388589,0.5633,0.3806,2.972646,0.067939,10.1675
4.385622,10.405055,0.5470,0.3651,2.979403,0.067320,10.2014
4.286967,10.420859,0.5313,0.3757,2.986098,0.066703,10.2349
4.188209,10.436004,0.5162,0.3863,2.992732,0.066089,10.2681
4.089353,10.450497,0.5019,0.4202,2.999305,0.065478,10.3010
3.990404,10.464343,0.4881,0.4726,3.005816,0.064870,10.3336
3.891368,10.477547,0.4774,0.5376,3.012267,0.064265,10.3659
3.792249,10.490115,0.4880,0.6003,3.018658,0.063662,10.3979
3.693052,10.502053,0.4993,0.6641,3.024989,0.063062,10.4297
3.593781,10.513365,0.4881,0.7326,3.031260,0.062464,10.4612
3.494443,10.524057,0.4774,0.7740,3.037471,0.061869,10.4924
3.395039,10.534135,0.4674,0.7840,3.043623,0.061276,10.4748
3.295576,10.543604,0.4640,0.7934,3.049716,0.060686,10.4355
3.196058,10.552471,0.4824,0.8023,3.055749,0.060097,10.3959
3.096488,10.560739,0.4903,0.8105,3.061725,0.059511,10.3559
2.996871,10.568415,0.4826,0.8182,3.067641,0.058927,10.3157
2.897210,10.575505,0.4755,0.8252,3.073500,0.058345,10.2751
2.797509,10.582013,0.4690,0.8317,3.079300,0.057765,10.2342
2.697773,10.587946,0.4631,0.8376,3.085043,0.057187,10.1930
2.598004,10.593309,0.4467,0.8430,3.090728,0.056610,10.1514
2.498207,10.598108,0.4113,0.8576,3.096355,0.056036,10.1094
2.398384,10.602348,0.3990,0.8828,3.101925,0.055463,10.0671
2.298539,10.606034,0.3953,0.9062,3.107441,0.054956,10.0244
2.198676,10.609172,0.3922,0.9098,3.112907,0.054451,9.9814
2.098797,10.611767,0.3896,0.9237,3.118334,0.054198,9.9380
1.998905,10.613820,0.3875,0.9474,3.123737,0.053947,9.8942
1.899004,10.615335,0.4029,0.9647,3.129118,0.053759,9.8500
1.799096,10.616314,0.4363,0.9648,3.134479,0.053572,9.8054
1.699184,10.616757,0.4358,0.9385,3.139823,0.053387,9.7604
1.599271,10.616668,0.4359,0.9217,-3.138038,0.053203,9.7150
1.499361,10.616048,0.4365,0.9151,-3.132731,0.053021,9.6691
1.399454,10.614898,0.4114,0.9139,-3.127443,0.052841,9.6229
1.299556,10.613221,0.3901,0.9122,-3.122172,0.052662,9.5762
1.199667,10.611018,0.3923,0.9100,-3.116920,0.052484,9.5290
1.099792,10.608291,0.3950,0.9073,-3.111662,0.052766,9.4815
0.999932,10.605037,0.3982,0.9041,-3.106375,0.053052,9.4334
0.900091,10.601251,0.4020,0.9003,-3.100972,0.055114,9.3849
0.800273,10.596915,0.4063,0.8959,-3.095362,0.057186,9.3358
0.700480,10.592009,0.4112,0.8910,-3.089524,0.059688,9.2863
0.600719,10.586507,0.4167,0.8855,-3.083435,0.062195,9.2363
0.500994,10.580386,0.4228,0.8843,-3.077096,0.064704,9.1858
0.401311,10.573620,0.4296,0.8937,-3.070505,0.067215,9.1347
0.301675,10.566184,0.4370,0.9133,-3.063664,0.069730,9.0831
0.202094,10.558055,0.4452,0.9071,-3.056571,0.072248,9.0310
0.102574,10.549207,0.4540,0.8983,-3.049227,0.074769,8.9783
0.003123,10.539616,0.4636,0.8956,-3.041631,0.077295,8.9250
-0.096251,10.529257,0.4740,0.9033,-3.033781,0.079824,8.8711
-0.195540,10.518106,0.4851,0.9210,-3.025679,0.082359,8.8167
-0.294733,10.506139,0.4971,0.9340,-3.017324,0.084899,8.7616
-0.393821,10.493330,0.5099,0.9421,-3.008714,0.087445,8.7058
-0.492794,10.479656,0.5236,0.9300,-2.999850,0.089998,8.6495
-0.591639,10.465093,0.5373,0.9153,-2.990730,0.092557,8.5924
-0.690346,10.449616,0.5181,0.9105,-2.981354,0.095124,8.5347
-0.788901,10.433202,0.5188,0.9156,-2.971721,0.097700,8.4763
-0.887291,10.415826,0.5362,0.9171,-2.961831,0.100284,8.4172
-0.985502,10.397466,0.5474,0.9111,-2.951682,0.102879,8.3573
-1.083518,10.378097,0.5357,0.9150,-2.941273,0.105483,8.2972
-1.181326,10.357696,0.5436,0.9222,-2.930603,0.108100,8.2377
-1.278907,10.336241,0.5652,0.9352,-2.919671,0.110728,8.1786
-1.376245,10.313706,0.5878,0.9176,-2.908476,0.113370,8.1200
-1.473322,10.290071,0.6115,0.9095,-2.897017,0.116026,8.0619
-1.570118,10.265312,0.6279,0.9112,-2.885291,0.118697,8.0041
-1.666613,10.239407,0.6277,0.9119,-2.873297,0.121384,7.9468
-1.762788,10.212333,0.6445,0.9027,-2.861035,0.124089,7.8898
-1.858619,10.184069,0.6672,0.8854,-2.848501,0.126812,7.8331
-1.954084,10.154594,0.6779,0.8634,-2.835694,0.129556,7.7768
-2.049160,10.123885,0.6858,0.8514,-2.822611,0.132320,7.7208
-2.143821,10.091921,0.7092,0.8496,-2.809252,0.135108,7.6651
-2.238043,10.058683,0.7204,0.8582,-2.795613,0.137919,7.6097
-2.331797,10.024150,0.7343,0.8555,-2.781691,0.140757,7.5545
-2.425056,9.988302,0.7380,0.8501,-2.767485,0.143621,7.4996
-2.517792,9.951119,0.7564,0.8353,-2.752991,0.146515,7.4448
-2.609973,9.912583,0.7884,0.8308,-2.738206,0.149440,7.3903
-2.701568,9.872674,0.8285,0.8368,-2.723128,0.152398,7.3359
-2.792545,9.831376,0.8444,0.8531,-2.707752,0.155389,7.2817
-2.882870,9.788670,0.8632,0.8622,-2.692076,0.158419,7.2276
-2.972508,9.744540,0.8791,0.8766,-2.676095,0.161487,7.1737
-3.061422,9.698969,0.8770,0.8875,-2.659805,0.164598,7.1198
-3.149574,9.651943,0.8699,0.8997,-2.643202,0.167751,7.0660
-3.236926,9.603445,0.8730,0.9068,-2.626282,0.170952,7.0123
-3.323437,9.553463,0.8822,0.9167,-2.609040,0.174202,6.9587
-3.409064,9.501983,0.8969,0.9355,-2.591471,0.177504,6.9050
-3.493766,9.448992,0.8952,0.9580,-2.573569,0.180861,6.8514
-3.577495,9.394479,0.8980,0.9786,-2.555328,0.184278,6.7978
-3.660208,9.338434,0.8799,0.9975,-2.536743,0.187755,6.7441
-3.741853,9.280848,0.8212,1.0145,-2.517807,0.191299,6.6904
-3.822384,9.221711,0.7726,1.0297,-2.498514,0.194912,6.6367
-3.901747,9.161018,0.7364,1.0429,-2.478857,0.198599,6.5829
-3.979891,9.098761,0.7143,1.0576,-2.458827,0.202362,6.5289
-4.056760,9.034938,0.7051,1.0737,-2.438417,0.206209,6.4749
-4.132298,8.969544,0.6570,1.0936,-2.417618,0.210142,6.4207
-4.206445,8.902580,0.6152,1.1201,-2.396422,0.214168,6.3664
-4.279144,8.834043,0.5897,1.1526,-2.374818,0.218291,6.3119
-4.350329,8.763939,0.5826,1.1699,-2.352798,0.222518,6.2572
-4.419940,8.692268,0.5750,1.1909,-2.330350,0.226854,6.2023
-4.487906,8.619039,0.5570,1.2066,-2.307463,0.231307,6.1472
-4.554164,8.544257,0.5463,1.2238,-2.284125,0.235882,6.0919
-4.618640,8.467937,0.5345,1.2363,-2.260323,0.240589,6.0363
-4.681263,8.390087,0.5436,1.2496,-2.236044,0.245433,5.9804
-4.741958,8.310727,0.5561,1.2612,-2.211274,0.250426,5.9242
-4.800649,8.229871,0.5719,1.2630,-2.185998,0.255575,5.8677
